step,agent_action,river_dirtiness,orchard_fruits,agent_reward
0,move north,8,4,0
1,move north,8,4,0
2,move north,8,4,0
3,move north,8,4,0
4,pick fruit,8,4,0
5,move east,8,3,1
6,pick fruit,8,3,1
7,pick fruit,8,3,2
8,pick fruit,9,2,3
9,pick fruit,9,1,4
10,move south,9,0,5
11,move north,9,0,5
12,move east,9,0,5
13,move east,9,0,5
14,move south,9,0,5
15,move west,9,0,5
16,move north,9,0,5
17,move east,9,0,5
18,move south,9,0,5
19,move north,9,0,5
20,move south,9,0,5
21,move north,9,0,5
22,move south,9,0,5
23,move north,9,0,5
24,move south,9,0,5
25,move north,9,0,5
26,move west,9,0,5
27,move south,9,0,5
28,move north,9,0,5
29,move east,9,0,5
30,move south,9,0,5
31,move west,9,0,5
32,move east,9,0,5
33,move north,9,0,5
34,move west,9,0,5
35,move east,9,0,5
36,move south,9,0,5
37,move west,9,0,5
38,move north,9,0,5
39,move east,9,0,5
40,move south,9,0,5
41,move north,9,0,5
42,move west,9,0,5
43,move east,9,0,5
44,move south,9,0,5
45,move north,9,0,5
46,move south,9,0,5
47,move north,9,0,5
48,move south,9,0,5
49,move west,9,0,5
50,move north,9,0,5
51,move east,9,0,5
52,move south,9,0,5
53,move west,9,0,5
54,move north,9,0,5
55,move east,9,0,5
56,move south,9,0,5
57,move north,9,0,5
58,move south,9,0,5
59,move north,9,0,5
60,move south,9,0,5
61,move west,9,0,5
62,move north,9,0,5
63,move east,9,0,5
64,move south,9,0,5
65,move north,9,0,5
66,move south,9,0,5
67,move west,9,0,5
68,move north,9,0,5
69,move south,9,0,5
70,move north,9,0,5
71,move east,9,0,5
72,move south,9,0,5
73,move north,9,0,5
74,move south,9,0,5
75,move north,9,0,5
76,move west,9,0,5
77,move south,9,0,5
78,move north,9,0,5
79,move south,9,0,5
80,move north,9,0,5
81,move east,9,0,5
82,move south,9,0,5
83,move north,9,0,5
84,move west,9,0,5
85,move east,9,0,5
86,move south,9,0,5
87,move west,9,0,5
88,move north,9,0,5
89,move east,9,0,5
90,move south,9,0,5
91,move north,9,0,5
92,move west,9,0,5
93,move south,9,0,5
94,move north,9,0,5
95,move south,9,0,5
96,move north,9,0,5
97,move east,9,0,5
98,move south,9,0,5
99,move west,9,0,5
