step,agent_action,river_dirtiness,orchard_fruits,agent_reward
0,move east,9,0,0
1,move north,9,0,0
2,move east,9,0,0
3,move east,9,0,0
4,move west,9,0,0
5,move east,9,0,0
6,move west,9,0,0
7,move east,9,0,0
8,move west,9,0,0
9,move east,9,0,0
10,move west,9,0,0
11,move east,9,0,0
12,move west,9,0,0
13,move east,9,0,0
14,move west,9,0,0
15,move east,9,0,0
16,move west,9,0,0
17,move east,9,0,0
18,move west,9,0,0
19,move east,9,0,0
20,move west,9,0,0
21,move east,9,0,0
22,move west,9,0,0
23,move east,9,0,0
24,move west,9,0,0
25,move east,9,0,0
26,move west,9,0,0
27,move east,9,0,0
28,move west,9,0,0
29,move east,9,0,0
