,step,river_dirtiness,orchard_fruits,agent_1_action,agent_2_action,agent_1_reward,agent_2_reward
0,0,8,4,move north,clean river,0,0
1,1,7,4,move north,clean river,0,0
2,2,6,4,move north,clean river,0,0
3,3,6,4,move north,move north,0,0
4,4,7,5,move north,move north,0,0
5,5,7,5,move south,move south,0,0
6,6,7,5,move north,move south,0,0
7,7,7,5,move east,move north,0,0
8,8,7,5,move north,move south,0,0
9,9,7,4,pick fruit,move north,1,0
10,10,7,3,pick fruit,move south,2,0
11,11,7,2,pick fruit,move north,3,0
12,12,7,1,pick fruit,move south,4,0
13,13,7,0,pick fruit,move north,5,0
14,14,8,1,move south,move south,5,0
15,15,8,1,move north,move north,5,0
16,16,8,1,pick fruit,move north,6,0
17,17,8,0,pick fruit,move south,7,0
18,18,8,0,pick fruit,move south,7,0
19,19,7,0,pick fruit,clean river,7,0
20,20,6,0,move south,clean river,7,0
21,21,6,0,move north,move north,7,0
22,22,7,1,pick fruit,move south,7,0
23,23,7,1,pick fruit,clean river,8,0
24,24,8,0,pick fruit,move north,9,0
25,25,8,0,pick fruit,move south,9,0
26,26,7,0,pick fruit,clean river,9,0
27,27,7,0,pick fruit,move north,9,0
28,28,7,0,move south,move south,9,0
29,29,6,0,move south,clean river,9,0
30,30,5,0,move south,clean river,9,0
31,31,5,0,move north,move north,9,0
32,32,5,1,move south,move south,9,0
33,33,5,1,move north,move north,9,0
34,34,5,1,move north,move north,9,0
35,35,5,1,move north,move north,9,0
36,36,5,0,pick fruit,move north,10,0
37,37,5,1,move south,move south,10,0
38,38,6,2,move north,move north,10,0
39,39,6,1,pick fruit,move north,11,0
40,40,6,0,pick fruit,move north,12,0
41,41,6,0,pick fruit,move south,12,0
42,42,6,0,pick fruit,move north,12,0
43,43,6,1,move south,move south,12,0
44,44,6,1,move north,move north,12,0
45,45,6,0,pick fruit,move north,13,0
46,46,6,1,move south,pick fruit,13,0
47,47,6,1,move north,pick fruit,13,1
48,48,7,0,pick fruit,pick fruit,14,1
49,49,7,0,move south,move south,14,1
50,50,7,0,move south,move south,14,1
51,51,7,1,move south,move south,14,1
52,52,7,1,move north,move north,14,1
53,53,7,2,move north,move north,14,1
54,54,7,2,move south,move south,14,1
55,55,7,2,move south,move north,14,1
56,56,7,2,move south,move north,14,1
57,57,7,1,move north,pick fruit,14,2
58,58,7,1,move north,move south,14,2
59,59,7,2,move north,move north,14,2
60,60,7,2,move north,pick fruit,14,3
61,61,7,2,move south,move south,14,3
62,62,7,2,move north,move south,14,3
63,63,7,2,move south,move north,14,3
64,64,8,2,move south,move south,14,3
65,65,8,3,move south,move north,14,3
66,66,8,3,move north,move south,14,3
67,67,8,3,move north,move north,14,3
68,68,8,3,move south,move north,14,3
69,69,9,3,move north,pick fruit,14,4
70,70,9,2,move north,pick fruit,14,5
71,71,9,0,pick fruit,pick fruit,15,6
72,72,9,0,pick fruit,move south,15,6
73,73,9,0,pick fruit,move south,15,6
74,74,9,0,pick fruit,move south,15,6
75,75,9,0,pick fruit,move south,15,6
76,76,9,0,move south,move south,15,6
77,77,9,0,move north,move south,15,6
78,78,9,0,pick fruit,move south,15,6
79,79,9,0,pick fruit,move north,15,6
80,80,9,0,pick fruit,move south,15,6
81,81,8,0,pick fruit,clean river,15,6
82,82,7,0,move south,clean river,15,6
83,83,6,1,move north,clean river,15,6
84,84,6,1,pick fruit,move north,16,6
85,85,6,0,pick fruit,move south,17,6
86,86,5,0,move south,clean river,17,6
87,87,5,0,move south,move north,17,6
88,88,5,0,move north,move north,17,6
89,89,5,1,move north,move south,17,6
90,90,5,1,move south,move north,17,6
91,91,6,2,move north,move north,17,6
92,92,6,2,pick fruit,move north,18,6
93,93,6,1,pick fruit,move north,19,6
94,94,6,2,move south,move north,19,6
95,95,6,2,move north,move north,19,6
96,96,6,1,pick fruit,pick fruit,20,7
97,97,6,1,pick fruit,pick fruit,21,7
98,98,6,0,pick fruit,pick fruit,22,7
99,99,6,0,pick fruit,pick fruit,22,7
100,100,6,0,pick fruit,move south,22,7
101,101,6,1,move south,move south,22,7
102,102,7,1,move north,move north,22,7
103,103,7,2,move south,move south,22,7
104,104,7,2,move north,move south,22,7
105,105,7,1,pick fruit,move south,23,7
106,106,7,0,pick fruit,move south,24,7
107,107,8,0,pick fruit,move south,24,7
108,108,8,0,pick fruit,move south,24,7
109,109,7,0,pick fruit,clean river,24,7
110,110,7,0,move south,clean river,24,7
111,111,7,1,move south,move east,24,7
112,112,7,1,move north,clean river,24,7
113,113,8,1,move north,move north,24,7
114,114,9,0,pick fruit,move south,25,7
115,115,8,1,move south,clean river,25,7
116,116,7,1,move north,clean river,25,7
117,117,7,0,pick fruit,clean river,26,7
118,118,7,0,move south,clean river,26,7
119,119,6,0,move south,clean river,26,7
120,120,7,0,move south,move north,26,7
121,121,8,0,move south,move south,26,7
122,122,7,0,move south,clean river,26,7
123,123,7,0,move south,move north,26,7
124,124,7,0,move south,move south,26,7
125,125,6,0,clean river,clean river,26,7
126,126,4,1,clean river,clean river,26,7
127,127,4,1,move north,move north,26,7
128,128,4,1,move north,move north,26,7
129,129,4,2,move north,move north,26,7
130,130,5,3,move north,move north,26,7
131,131,5,3,move north,move north,26,7
132,132,5,3,move north,move north,26,7
133,133,6,4,move north,move north,26,7
134,134,6,2,pick fruit,pick fruit,27,8
135,135,6,1,pick fruit,pick fruit,28,9
136,136,6,1,pick fruit,pick fruit,29,9
137,137,7,0,pick fruit,pick fruit,30,9
138,138,7,1,pick fruit,pick fruit,30,9
139,139,8,0,pick fruit,move south,31,9
140,140,9,0,pick fruit,move south,31,9
141,141,9,0,pick fruit,move south,31,9
142,142,9,0,pick fruit,move south,31,9
143,143,9,0,move south,move south,31,9
144,144,9,0,move north,move south,31,9
145,145,9,0,pick fruit,move south,31,9
146,146,9,0,pick fruit,clean river,31,9
147,147,9,0,pick fruit,move north,31,9
148,148,9,0,pick fruit,move south,31,9
149,149,9,0,move south,clean river,31,9
150,150,8,0,move south,clean river,31,9
151,151,7,0,move south,clean river,31,9
152,152,7,1,move south,move north,31,9
153,153,7,2,move south,move south,31,9
154,154,7,2,move south,move east,31,9
155,155,7,2,move south,clean river,31,9
156,156,6,2,clean river,move north,31,9
157,157,6,2,move north,move north,31,9
158,158,7,2,move south,move north,31,9
159,159,6,2,clean river,move north,31,9
160,160,5,2,clean river,move north,31,9
161,161,5,2,move north,move north,31,9
162,162,5,2,move north,move north,31,9
163,163,5,2,move south,move south,31,9
164,164,5,2,move north,move north,31,9
165,165,5,1,move north,pick fruit,31,10
166,166,5,1,move north,pick fruit,31,11
167,167,5,2,move north,move south,31,11
168,168,5,2,move north,move north,31,11
169,169,5,2,move north,pick fruit,31,12
170,170,6,0,pick fruit,pick fruit,32,13
171,171,6,0,pick fruit,move south,32,13
172,172,6,0,pick fruit,move south,32,13
173,173,6,0,pick fruit,move south,32,13
174,174,6,1,move south,move south,32,13
175,175,6,1,move north,move north,32,13
176,176,6,0,pick fruit,move east,33,13
177,177,6,0,pick fruit,move north,33,13
178,178,6,0,pick fruit,move south,33,13
179,179,6,0,pick fruit,move north,33,13
180,180,6,0,pick fruit,move south,33,13
181,181,6,0,move south,move north,33,13
182,182,6,0,move south,move north,33,13
183,183,6,1,move south,move north,33,13
184,184,7,1,move north,pick fruit,33,14
185,185,7,1,move north,pick fruit,33,15
186,186,7,0,move north,pick fruit,33,16
187,187,7,0,move south,move south,33,16
188,188,8,0,move south,move south,33,16
189,189,8,1,move south,move south,33,16
190,190,8,1,move north,move north,33,16
191,191,8,1,move north,move south,33,16
192,192,8,1,move north,move north,33,16
193,193,9,0,pick fruit,move north,34,16
194,194,9,0,pick fruit,move south,34,16
195,195,9,0,move south,move south,34,16
196,196,9,0,move south,move south,34,16
197,197,9,0,move south,move south,34,16
198,198,9,0,move south,move south,34,16
199,199,9,0,move south,move south,34,16
