step,agent_action,river_dirtiness,orchard_fruits,agent_reward
0,move south,8,4,0
1,move south,8,4,0
2,move south,8,4,0
3,clean river,9,5,0
4,clean river,8,5,0
5,clean river,7,6,0
6,clean river,6,6,0
7,clean river,5,6,0
8,clean river,5,7,0
9,clean river,4,7,0
10,clean river,3,8,0
11,clean river,2,9,0
12,clean river,1,10,0
13,clean river,0,11,0
14,clean river,1,12,0
15,clean river,0,13,0
16,clean river,0,14,0
17,clean river,0,15,0
18,move north,0,16,0
19,move south,0,17,0
20,clean river,0,18,0
21,clean river,0,19,0
22,clean river,0,20,0
23,clean river,0,21,0
24,clean river,0,22,0
25,clean river,0,23,0
26,clean river,0,24,0
27,clean river,0,25,0
28,clean river,0,26,0
29,clean river,0,27,0
30,clean river,0,28,0
31,clean river,0,29,0
32,clean river,0,30,0
33,clean river,0,31,0
34,clean river,0,32,0
35,clean river,0,33,0
36,clean river,0,34,0
37,clean river,0,35,0
38,clean river,0,36,0
39,clean river,0,37,0
40,clean river,0,38,0
41,clean river,0,39,0
42,clean river,0,40,0
43,clean river,0,41,0
44,clean river,0,42,0
45,clean river,0,43,0
46,clean river,0,44,0
47,clean river,1,45,0
48,clean river,0,46,0
49,clean river,0,47,0
50,clean river,0,48,0
51,clean river,1,49,0
52,clean river,0,50,0
53,clean river,1,51,0
54,clean river,0,52,0
55,clean river,0,53,0
56,clean river,0,54,0
57,clean river,1,55,0
58,clean river,0,56,0
59,clean river,0,57,0
60,clean river,0,58,0
61,clean river,0,59,0
62,clean river,0,60,0
63,clean river,0,61,0
64,clean river,0,62,0
65,clean river,0,63,0
66,clean river,0,64,0
67,clean river,0,65,0
68,clean river,0,66,0
69,clean river,0,67,0
70,clean river,1,68,0
71,clean river,0,69,0
72,clean river,0,70,0
73,move north,1,71,0
74,move south,1,72,0
75,clean river,2,73,0
76,clean river,1,74,0
77,clean river,0,75,0
78,clean river,0,76,0
79,clean river,0,77,0
80,clean river,0,78,0
81,clean river,0,79,0
82,clean river,0,80,0
83,clean river,1,81,0
84,clean river,0,82,0
85,clean river,0,83,0
86,clean river,0,84,0
87,clean river,0,85,0
88,clean river,0,86,0
89,clean river,0,87,0
90,clean river,0,88,0
91,clean river,0,89,0
92,clean river,0,90,0
93,clean river,0,91,0
94,clean river,0,92,0
95,clean river,0,93,0
96,clean river,0,94,0
97,clean river,0,95,0
98,clean river,0,96,0
99,clean river,0,97,0
